Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,7,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"1,166",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,12,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,5,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,27,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,327,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,60,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,721,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,13,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,110,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,115,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,122,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H24,Total assets,Financial position,761,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H25,Current assets,Financial position,427,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,192,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,48,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,22,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H29,Other assets,Financial position,142,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,761,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,276,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,303,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,181,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"220,800",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"21,000",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H36,Current ratio,Financial ratios,141,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H37,Quick ratio,Financial ratios,103,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,25,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H39,Return on equity,Financial ratios,44,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H40,Return on total assets,Financial ratios,16,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,36,ANZSIC06 group C251
2018,Level 4,CC912,Other Manufacturing,Dollars (millions),H01,Total income,Financial performance,685,ANZSIC06 group C259
2018,Level 4,CC912,Other Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,77,ANZSIC06 group C259
2018,Level 4,CC912,Other Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,604,ANZSIC06 group C259
